PERMNO,Company Name,Ticker,SP500 Start,SP500 End
15408,KRAFT HEINZ CO,KHC,"July 6, 2015","Dec. 31, 2024"
15488,PAYPAL HOLDINGS INC,PYPL,"July 20, 2015","Dec. 31, 2024"
15579,TEXAS INSTRUMENTS INC,TXN,"March 25, 1959","Dec. 31, 2024"
15707,HEWLETT PACKARD ENTERPRISE CO,HPE,"Nov. 2, 2015","Dec. 31, 2024"
15720,EDISON INTERNATIONAL,EIX,"Dec. 31, 1925","Dec. 31, 2024"
15850,MATCH GROUP INC NEW,MTCH,"Sept. 20, 2021","Dec. 31, 2024"
16087,FORTIVE CORP,FTV,"July 5, 2016","Dec. 31, 2024"
16431,LAMB WESTON HOLDINGS INC,LW,"Dec. 3, 2018","Dec. 31, 2024"
16581,INVITATION HOMES INC,INVH,"Sept. 19, 2022","Dec. 31, 2024"
16600,HERSHEY CO,HSY,"March 1, 1957","Dec. 31, 2024"
16678,KROGER CO,KR,"March 1, 1957","Dec. 31, 2024"
16692,INGERSOLL RAND INC,IR,"March 3, 2020","Dec. 31, 2024"
16851,DUPONT DE NEMOURS INC,DD,"Sept. 1, 2017","Dec. 31, 2024"
17005,C V S HEALTH CORP,CVS,"March 1, 1957","Dec. 31, 2024"
17144,GENERAL MILLS INC,GIS,"Feb. 13, 1969","Dec. 31, 2024"
17307,VICI PROPERTIES INC,VICI,"June 8, 2022","Dec. 31, 2024"
17478,S & P GLOBAL INC,SPGI,"March 1, 1957","Dec. 31, 2024"
17700,CERIDIAN H C M HOLDING INC,CDAY,"Sept. 20, 2021","Dec. 31, 2024"
17743,BERKLEY W R CORP,WRB,"Dec. 5, 2019","Dec. 31, 2024"
17750,KIMBERLY CLARK CORP,KMB,"March 1, 1957","Dec. 31, 2024"
17830,RAYTHEON TECHNOLOGIES CORP,RTX,"March 1, 1957","Dec. 31, 2024"
17942,KEURIG DR PEPPER INC,KDP,"June 21, 2022","Dec. 31, 2024"
18143,LINDE PLC,LIN,"Oct. 31, 2018","Dec. 31, 2024"
18163,PROCTER & GAMBLE CO,PG,"March 1, 1957","Dec. 31, 2024"
18312,MODERNA INC,MRNA,"July 21, 2021","Dec. 31, 2024"
18411,SOUTHERN CO,SO,"June 7, 1944","Dec. 31, 2024"
18420,FOX CORP,FOXA,"March 19, 2019","Dec. 31, 2024"
18421,FOX CORP,FOX,"March 19, 2019","Dec. 31, 2024"
18428,DOW INC,DOW,"April 2, 2019","Dec. 31, 2024"
18542,CATERPILLAR INC,CAT,"March 1, 1957","Dec. 31, 2024"
18592,CORTEVA INC,CTVA,"June 3, 2019","Dec. 31, 2024"
18724,AMCOR PLC,AMCR,"June 11, 2019","Dec. 31, 2024"
18729,COLGATE PALMOLIVE CO,CL,"March 1, 1957","Dec. 31, 2024"
19166,F M C CORP,FMC,"Aug. 19, 2009","Dec. 31, 2024"
19285,CARRIER GLOBAL CORP,CARR,"April 3, 2020","Dec. 31, 2024"
19286,OTIS WORLDWIDE CORP,OTIS,"April 3, 2020","Dec. 31, 2024"
19350,DEERE & CO,DE,"March 1, 1957","Dec. 31, 2024"
19393,BRISTOL MYERS SQUIBB CO,BMY,"March 1, 1957","Dec. 31, 2024"
19502,WALGREENS BOOTS ALLIANCE INC,WBA,"Oct. 11, 1979","Dec. 31, 2024"
19561,BOEING CO,BA,"March 1, 1957","Dec. 31, 2024"
19583,INVESCO LTD,IVZ,"Aug. 21, 2008","Dec. 31, 2024"
20057,VIATRIS INC,VTRS,"Nov. 17, 2020","Dec. 31, 2024"
20482,ABBOTT LABORATORIES,ABT,"March 1, 1957","Dec. 31, 2024"
21020,AMERICAN AIRLINES GROUP INC,AAL,"March 23, 2015","Sept. 20, 2024"
21124,ORGANON & CO,OGN,"June 3, 2021","Oct. 17, 2023"
21178,LOCKHEED MARTIN CORP,LMT,"July 19, 1984","Dec. 31, 2024"
21186,WESTROCK CO,WRK,"March 1, 1957",5-Jul-24
21207,NEWMONT CORP,NEM,"May 15, 1969","Dec. 31, 2024"
21371,CARDINAL HEALTH INC,CAH,"May 27, 1997","Dec. 31, 2024"
21573,INTERNATIONAL PAPER CO,IP,"Dec. 31, 1925","Dec. 31, 2024"
21776,EXELON CORP,EXC,"June 7, 1944","Dec. 31, 2024"
21792,CENTERPOINT ENERGY INC,CNP,"July 25, 1985","Dec. 31, 2024"
21936,PFIZER INC,PFE,"March 1, 1957","Dec. 31, 2024"
22103,EMERSON ELECTRIC CO,EMR,"Jan. 7, 1965","Dec. 31, 2024"
22111,JOHNSON & JOHNSON,JNJ,"May 31, 1973","Dec. 31, 2024"
22293,CORNING INC,GLW,"March 1, 1957","Dec. 31, 2024"
22509,P P G INDUSTRIES INC,PPG,"March 1, 1957","Dec. 31, 2024"
22517,P P L CORP,PPL,"Nov. 27, 1995","Dec. 31, 2024"
22592,3M CO,MMM,"March 1, 1957","Dec. 31, 2024"
